,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Atp2b4,1.074030618796424,0.19130416673464462,0.8827264520617792,2.5248505247785564,0.7072309147930274,5.585998092392693e-06,7.904714281687773e-05,4.1021138231547845,True
Lox,0.7201990259007641,-0.15298136429937037,0.8731803902001345,,0.3602056200272694,4.010025120048124e-08,1.3467280192004333e-06,5.870720104119014,True
Dek,1.7675319904970197,0.8950621533974904,0.8724698370995293,1.009512871954949,1.221132855568096,0.0007804828936606473,0.004591075845062631,2.3380855325835546,True
Baz1b,1.3928447822815166,0.5204963468018802,0.8723484354796365,1.4538396079227751,0.9684008766036315,2.3183779367182415e-05,0.00024663595071470654,3.6079436184984424,True
Atrx,1.1860179729602556,0.33330613620090227,0.8527118367593534,1.8686178440093428,0.8152983839789287,3.0871431140137524e-05,0.00031394675735733077,3.5031439982533175,True
Rcc2,1.879716261328175,1.0295423683887412,0.8501738929394338,0.8949333748391536,1.2955051728113944,0.0022193058430306084,0.0102272158665005,1.9902425772732517,True
Pan3,0.9846220998025165,0.1417682042539227,0.8428538955485938,2.831107541850752,0.6444978981637597,0.0009803757825203338,0.005456637008461969,2.263074935801853,True
Mrvi1,0.9542311278275696,0.11140844122876223,0.8428226865988073,3.129819107117304,0.6161880875701233,0.0006129947493177031,0.0037151196928345643,2.430027189682627,True
Cd72,0.5465743820226572,-0.2926901526740375,0.8392645346966947,,0.17241341345419572,0.014165098794842037,0.04340684002505221,1.3624418292185398,True
Tmed3,1.0299265401964075,0.1941587688566349,0.8357677713397726,2.4453420486687674,0.6888899179724175,3.888575771501154e-05,0.0003850075021288271,3.414530807890438,True
Rab30,0.7929128172455294,-0.04045240469693394,0.8333652219424633,,0.46072181427809694,2.280638019665964e-11,4.276196286873682e-09,8.36894236792781,True
Fbxo5,1.3102710438305631,0.4773938528715016,0.8328771909590615,1.4923210137245726,0.9213086979521462,0.0005138256041224183,0.0032797378986537335,2.4841608616897264,True
Zfp36l2,0.814904547577646,-0.016908532893850744,0.8318130804714967,,0.4843939076063046,0.0018741089159552912,0.009082918817230813,2.041774567501175,True
Ciita,0.3296722333235241,-0.49893005258181483,0.8286022859053389,,-0.12757136602199198,1.3202849989731526e-07,3.5364776758209443e-06,5.451429079076904,True
Slbp,1.35341489353841,0.527881381746547,0.8255335117918631,1.3932897953748984,0.9565385641643299,0.00017586961795963674,0.001328989556370051,2.87647843187042,True
Prmt1,1.8554267950329606,1.0361714423611277,0.8192553526718329,0.8673065615810954,1.290305915573891,0.0045184014523477565,0.017535840047921435,1.7560734245678682,True
Rrad,0.697150253272054,-0.12180657381560125,0.8189568270876553,,0.36476497270833136,0.0041399714813864655,0.016320518323468328,1.7872660526013033,True
Rrm1,1.4801909763367147,0.6624998121023722,0.8176911642343425,1.1924511056743243,1.050568141187615,0.0004608103775704698,0.0030316472208583543,2.518321336993936,True
Napsa,0.45993096650231446,-0.3520593505052933,0.8119903170076077,,0.07578699951551073,0.0005397567247490908,0.0034089898405205736,2.4673742930546023,True
Ldlrad4,0.9076874912863714,0.09684248469224996,0.8108450065941214,3.2588642605701845,0.5871393156078294,1.2917915538259255e-05,0.00015378470878880065,3.813086845411018,True
Hirip3,1.3989958881489029,0.589669861967429,0.8093260261814739,1.28065491301528,0.9959062307567262,0.005414678988070106,0.020381476743049333,1.6907643523157205,True
Slc14a1,0.8413699030912863,0.0354180718247181,0.8059518312665682,4.555420035467938,0.524458895457036,5.68954980165615e-05,0.0005251892124605677,3.2796842030261297,True
Hnrnpab,2.150409385830179,1.3496970982923227,0.8007122875378565,0.6954149882176048,1.4594595500242695,0.0037586850771062297,0.015196839934391766,1.8182467108536562,True
Wif1,0.8328359364310541,0.03662302032400157,0.7962129161070526,4.4956324693798075,0.5207787389950346,0.00018152441838668686,0.0013682745104524137,2.8638267634237984,True
Mndal,0.5938141507316209,-0.19864142754470682,0.7924555782763277,,0.2601296968383572,0.00024700400870975606,0.0018029489686843506,2.7440165655307522,True
Parp1,1.3062594373270842,0.5147290984457094,0.7915303388813748,1.3798268170840728,0.9339459291404515,0.00015241237857065507,0.0011876289239271824,2.9253192339885854,True
Ddt,0.4739491249602616,-0.31465959132168053,0.7886087162819422,,0.11055670363765233,0.002543059941104037,0.011252477615504589,1.9487518423283865,True
Ptpn6,0.5607452150163076,-0.22584413907258602,0.7865893540888936,,0.22336142776420248,0.0008919291692896243,0.005048655675224289,2.2968242477337695,True
Prrc2c,1.183087575957144,0.39846866089747107,0.784618915059673,1.60895061820712,0.8405865951268906,0.0001974510192300495,0.001469858703945778,2.8327244115416224,True
H3f3a,0.4777378939695156,-0.30254954824943014,0.7802874422189457,,0.121140326787521,0.00033247729707697524,0.0023035378550367797,2.637604646403053,True
Rif1,1.5636459045732207,0.7844259219719445,0.7792199826012762,1.0265881219387905,1.1203757726891919,0.00292207028969388,0.012469716741225661,1.9041434117275404,True
Vars,1.4197100897416317,0.6432646252749509,0.7764454644666808,1.1761976949797277,1.0225363863180306,0.0003641853933074875,0.0024887384508484336,2.6040207423314587,True
Gpr174,0.751541962707855,-0.01801139436707174,0.7695533570749268,,0.4507655089002444,0.0002627872518382619,0.0019088662361132825,2.7192245037452873,True
Sfpq,1.3683877570481278,0.5993588476596756,0.7690289093884521,1.226169742962072,0.9883198927095167,7.43857825728638e-05,0.0006602288394041165,3.1803055092081944,True
Ccr6,0.6988008515441658,-0.06993314207015995,0.7687339936143258,,0.3944415441287047,7.480163685947177e-08,2.20004814292564e-06,5.657567815551347,True
Slc38a2,0.8814700208593026,0.11490044706167658,0.766569573797626,2.976246084976413,0.5832160080390759,0.0011603405310280015,0.006193988599793602,2.2080295983094365,True
Gm16152,0.814782047234297,0.05054924246166806,0.764232804772629,4.021215791952678,0.5187019530729671,1.368775568072897e-07,3.602040968612887e-06,5.443451351943658,True
Ppm1l,0.8270313438781582,0.06578359753794319,0.7612477463402151,3.67451384179429,0.5324740344182982,2.327615153658629e-08,8.728556826219858e-07,6.059057556319691,True
Fubp1,1.46955511067755,0.7088398307068381,0.7607152799707119,1.0850559289364716,1.0629488622106897,0.00034623678112282157,0.002387839869812563,2.621994800653456,True
Zdhhc14,0.6330052676384074,-0.12435589507843281,0.7573611627168402,,0.32691084307955104,0.0008464950463315781,0.004874251706323866,2.3120920476082163,True
Asf1b,0.9775575621670389,0.2213651933790458,0.7561923687879931,2.1854512285627195,0.6775861560872026,0.0023091745582856467,0.010512175530890651,1.978307395933005,True
