,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Nfatc4_857,-0.16017151789260514,-0.1162776829545544,-0.04389383493805074,0.47368778282205476,-0.21461617933029786,0.5972719680986092,0.9024083884809244,0.04459687628843173,False,Nfatc4
NP_598,0.17618779480250887,0.22044862572672097,-0.0442608309242121,-0.32429575852419884,0.26101106289425163,0.6611234841496003,0.9252892805661775,0.033722469085021696,False,NP
Hoxb1_423,-0.18794626219475558,-0.14357696712726958,-0.04436929506748599,0.39733354207429006,-0.26146839922203824,0.41902011403453066,0.7895128596181991,0.10264079179154541,False,Hoxb1
Sp9_231,0.11769342150920405,0.16240895295081906,-0.04471553144161501,-0.46423494297902046,0.18909860149968946,0.5611557786127406,0.9011779824034007,0.04518942750914534,False,Sp9
Sp7_222,0.11769342150920405,0.16240895295081906,-0.04471553144161501,-0.46423494297902046,0.18909860149968946,0.5611557786127406,0.9011779824034007,0.04518942750914534,False,Sp7
Sp8_207,0.11769342150920405,0.16240895295081906,-0.04471553144161501,-0.46423494297902046,0.18909860149968946,0.5611557786127406,0.9011779824034007,0.04518942750914534,False,Sp8
Nfkb1_701,-1.5708825688995052,-1.5261613383324424,-0.044721230567062786,0.04220049381707976,,0.7941974409882125,0.9638436868745851,0.01599339289414213,False,Nfkb1
Olig1_81,0.05879277827639711,0.10432945443162125,-0.045536676155224144,-0.8189798182853835,0.11311519074566194,0.6056142733962204,0.9075157839101693,0.042145812787191324,False,Olig1
Prkrir_774,-0.01712974907826062,0.028677091911374637,-0.04580684098963526,,0.008305692955735827,0.4646672674257617,0.8388769703299116,0.07630172811616322,False,Prkrir
Dmrtc2_250,0.18500460345270123,0.23081953982434114,-0.045814936371639914,-0.3201611139150489,0.2725154394080046,0.44001307834168946,0.8085240314528543,0.09230706719572257,False,Dmrtc2
Stat2_758,-0.05303177281809043,-0.007129664481982963,-0.045902108336107465,3.3291055414302995,-0.04406340659964144,0.8711365576890988,0.9872480839303208,0.005573700477512023,False,Stat2
NP_600,0.08239368152349563,0.12835276280730745,-0.04595908128381182,-0.6361432868025184,0.1445335685810196,0.41612686238324115,0.7885535725538327,0.10316879634374755,False,NP
Homez_562,0.04221336359440175,0.08822295093707731,-0.046009587342675566,-1.0461037473290755,0.09114892545048077,0.3883259598968152,0.7846893897163331,0.10530221972261862,False,Homez
Nfatc2_700,-0.29583664118193403,-0.2494380697581814,-0.046398571423752644,0.25050117352223517,-0.45925326028886954,0.4343771442524835,0.8062001057564852,0.0935571492126688,False,Nfatc2
Sry_748,-0.05216883553516713,-0.005586909313706596,-0.04658192622146053,3.820875055139848,-0.042275355609303164,0.3319648880704018,0.7418281481948179,0.1296966916682949,False,Sry
Nkx21_399,0.0541249662201585,0.10106293578905046,-0.04693796956889196,-0.8902583722889311,0.10781365747173152,0.18982631662770577,0.6036363517514834,0.21922461434094812,False,Nkx21
Zfp957_16,0.28129982783372987,0.32875456282508225,-0.04745473499135239,-0.22608547268950815,0.3840798712840976,0.4198203301144392,0.7895128596181991,0.10264079179154541,False,Zfp957
Rhox8_568,0.15417207972767247,0.2029439524025964,-0.048771872674923944,-0.3969111467820884,0.23702277889297543,0.582532034623116,0.9024083884809244,0.04459687628843173,False,Rhox8
Hoxa1_479,0.13418980503649522,0.18339183280403787,-0.04920202776754265,-0.45048557283461277,0.21262015931823272,0.44135131251543247,0.8092970013276745,0.09189206878730291,False,Hoxa1
Mef2d_842,0.24225669365516828,0.29182065530194656,-0.04956396164677829,-0.2696165625947101,0.34146056127973096,0.7900482641442383,0.9638436868745851,0.01599339289414213,False,Mef2d
Mef2b_882,0.24225669365516828,0.29182065530194656,-0.04956396164677829,-0.2696165625947101,0.34146056127973096,0.7900482641442383,0.9638436868745851,0.01599339289414213,False,Mef2b
