,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Tubb2a,0.39819131256507634,-0.45205536724673473,0.8502466798118111,,-0.03938750838750321,1.299628424748039e-05,0.00032490710618700974,3.4882407899044603,True
Pmaip1,0.8584533140445648,0.013594684867149197,0.8448586291774156,5.845844726631246,0.5220798603076374,6.88190522660148e-05,0.0010432646748558191,2.9816054976643427,True
Pltp,0.5657521974090176,-0.2780724547113683,0.8438246521203859,,0.19388510021029257,1.2685463858308729e-05,0.00032251179300784905,3.491454400270284,True
Syngr2,0.8021897766202587,-0.040168741962547154,0.8423585185828059,,0.4657243067360117,2.87911759444741e-05,0.0005364815393380267,3.2704452177829637,True
Lgmn,0.278848974679138,-0.5567674523220052,0.8356164270011432,,-0.21584655928819715,3.99530037128886e-06,0.00014440844715501902,3.840407402019048,True
Rogdi,0.6524864487977508,-0.17176943577944745,0.8242558845771982,,0.310757169651734,2.4300151781209188e-05,0.00047337958015342574,3.3247904798626964,True
Tuba1a,0.7133663918430598,-0.09773163935152375,0.8110980311945836,,0.38716109681517086,0.0015017782787026274,0.012046349829165462,1.9191445289563964,True
Cd2,0.803006517563888,-0.004944020720420294,0.8079505382843083,,0.48442818654812553,1.0252287845932483e-05,0.0002762987235412263,3.558621121454398,True
Rrad,0.6835671811155553,-0.12180657381560125,0.8053737549311565,,0.35713566428304705,2.8457694516845143e-05,0.0005364815393380267,3.2704452177829637,True
Siglecg,0.6998120316200348,-0.10434774557903366,0.8041597771990685,,0.3759926361766583,1.255179389246791e-07,1.1410721720425372e-05,4.942686885881032,True
Lox,0.640450988090769,-0.15298136429937037,0.7934323523901393,,0.31467890801886356,0.0035575714243245996,0.02246887215362905,1.6484187268576205,True
Ctsa,0.05342578025237318,-0.7264955314396445,0.7799213116920177,,-0.5919074637581844,2.4300151781209188e-05,0.00047337958015342574,3.3247904798626964,True
Gpr183,0.4726132534332449,-0.2998026114154679,0.7724158648487127,,0.11956245076149795,1.4687525297367947e-06,7.087368382066837e-05,4.149514993209845,True
Tnfsf11,0.7360327864657326,-0.017632444600379764,0.7536652310661123,,0.4427579390677531,0.004574947570489536,0.02717790635934378,1.5657840020408063,True
Klhl30,0.8127106521101178,0.06474979826157562,0.7479608538485423,3.6726156343432645,0.5247960991847008,0.00980165553795731,0.047580852126006365,1.3225677844444312,True
C130026I21Rik,0.5572974166443679,-0.18551917337578286,0.7428165900201508,,0.24596912696126613,8.493162258175894e-05,0.0012075586149065253,2.9180917794065695,True
Ezh2,1.4302238303775392,0.6879361616011871,0.7422876687763521,1.089990582125286,1.0419998802738388,0.009578373579931361,0.04679987091171675,1.3297553448405428,True
Pycard,0.30513902952766786,-0.4319046310053197,0.7370436605329875,,-0.09446856415235318,0.00021806802476663213,0.002648599491092698,2.5769837087313987,True
