,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Nrg1,-0.07212676674656247,-0.14622487166975606,0.07409810492319359,-1.0213361577584024,-0.1667873752944417,0.0005703247820728525,0.007848506175314483,2.1052129956819994,True
Dab2,-0.6091442555755331,-0.6829111966088826,0.07376694103334946,-0.1632261719756263,-1.498291734190024,0.0038890993845976858,0.03199244903508812,1.4949525132227353,True
Ms4a4b,-0.0673330058044681,-0.1370591760846223,0.06972617028015418,-1.0273805856919596,-0.15552771709832666,0.0002500148502090074,0.004601500310595229,2.3371005443231145,True
Il2ra,0.04864066901720991,-0.0196933342998417,0.06833400331705161,,0.020731417618881785,0.0002993491482683867,0.005191025692515376,2.2847468216143043,True
Zfp618,-0.23264357315665113,-0.3003658366234477,0.06772226346679655,-0.36563017903850364,-0.4471403828991423,0.001254578327129265,0.01339407466686048,1.8730872843669064,True
Tifab,-0.1978507000869267,-0.2643922032449885,0.06654150315806182,-0.41515783303889797,-0.379172366081414,0.0013331547409087593,0.014033207799039571,1.8528430438551284,True
Cgnl1,-0.06940269047971351,-0.1325355147746335,0.06313282429491998,-0.9338570616252263,-0.15355739658860496,1.5413649836536753e-07,2.7840883323316294e-05,4.555316989738335,True
Gdf15,-0.3449704371461999,-0.40802632633739083,0.06305588919119093,-0.23959474689497867,-0.6815347904057018,0.00040299878854675763,0.006137037389036919,2.212041230829975,True
Abcd2,0.00521317648745021,-0.05679060936240286,0.06200378584985307,,-0.03769340195184274,0.0021243030299092384,0.02048110151941746,1.6886466897401422,True
Cd86,-0.6693614767098558,-0.7306723155259656,0.06131083881610977,-0.12479909795537981,-1.7370468496061304,0.00011358678223974529,0.002683152336371936,2.571354669494442,True
Arhgap26,-0.09361404443018839,-0.1537814474954277,0.060167403065239294,-0.7138295697295054,-0.19049952507352216,0.00031522313735986545,0.00534276503999772,2.272233924465079,True
Gm36423,0.0414913559580769,-0.016606514527484635,0.05809787048556154,,0.017839861863335152,0.00014187497209876195,0.0031067512138415023,2.5076935233082156,True
Gm26522,-0.08673974188396119,-0.14454499498698847,0.05780525310302728,-0.7346096086097191,-0.1772981857394763,0.0006179036276645022,0.008279444872879231,2.081998781177376,True
