,Ery/Meg,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Lyar,1.3908472671209131,1.1058581705287411,0.284989096592172,0.3391836875138223,1.1688683815473642,0.014418624546569387,0.02416529253614981,1.6168079430838995,True
Rps6ka6,0.357619702644783,0.07360847479728505,0.28401122784749794,2.2840970112699397,0.28168530061300806,2.9324629482271893e-05,8.684490468589899e-05,4.061255657144486,True
Chd3,0.4885881034178605,0.20582661511059394,0.28276148830726655,1.26431380889188,0.42997192441436843,0.00038267375970000303,0.0008975928687255739,3.0469206064950383,True
Ddah1,0.36371708068362124,0.08136779684021261,0.2823492838434086,2.1668463677463863,0.28988454708234174,3.2491066861894085e-13,3.361144847782147e-12,11.4735127713041,True
Hist1h1a,0.8568822922843651,0.575707415215009,0.28117487706935607,0.5865589870872007,0.7792974243412966,0.032136232397908075,0.049823616120787714,1.3025647552356465,True
Samsn1,0.4723531812250442,0.19234590505484586,0.2800072761701984,1.313371027516658,0.41397262445052774,0.010626507010740225,0.018269066494109268,1.738283643496663,True
Prnp,0.060417971300445336,-0.2195771550144415,0.2799951263148868,,-0.1196351226244811,0.0006776431790567385,0.001511471774847744,2.8205999584050048,True
Apobec3,0.7760329268344259,0.4960563562409782,0.2799765705934477,0.6594518170293725,0.7102121145671794,0.01868898704868624,0.0307216225457856,1.5125558510079473,True
Eif4g2,0.9866861591164466,0.7082171474483099,0.27846901166813676,0.489802736097719,0.8855366103890714,0.012360326529480043,0.020997157184847185,1.6778395006236042,True
Smarca2,0.321774755031274,0.043644152127951225,0.2781306029033228,2.8644750928356477,0.24209570228072844,0.002895942930856379,0.005659823317634616,2.2471971259449433,True
mt.Cytb,0.12693371723868277,-0.15085668304118752,0.2777904002798703,,-0.017360810826179213,0.002983801215814385,0.005808827804959866,2.235911497420166,True
Gm20342,0.5613096941205751,0.28355527497264177,0.2777544191479333,1.0021139314584262,0.5083601769456428,0.030338768439721563,0.0474290283059743,1.3239557727901752,True
Rprm,0.28594500586722976,0.008597388474599354,0.2773476173926304,4.806656694189224,0.19820646246676626,3.9605357406212806e-07,1.6640906473198658e-06,5.778823020257693,True
Fyn,0.24328794890767041,-0.03246962577468856,0.27575757468235895,,0.14458047468639684,0.0013619093948796458,0.002845214613258313,2.5458849693959675,True
Senp6,0.5726557616852157,0.29731943036841935,0.27533633131679636,0.9625374467316473,0.5210382663588446,0.004351479297578785,0.008169235226993964,2.0878185985768423,True
Bzw2,1.0771701022077358,0.8022291927667564,0.2749409094409794,0.4357458608006088,0.9558332758003424,0.011283801680967086,0.01928854988199502,1.7147004214966297,True
Gchfr,0.20971183584945033,-0.06432764649889865,0.27403948234834896,,0.10123602461967357,1.9015028814340124e-06,6.9993971095730515e-06,5.154939366165985,True
Trf,0.471681512003717,0.19832065489449685,0.27336085710922015,1.2676788819033211,0.41684091276377994,0.0003260437971109627,0.0007793875628150503,3.1082465288023617,True
Emcn,0.25613715473341203,-0.016077332338286295,0.2722144870716983,,0.16353726099732013,9.188721077602727e-06,2.9930687549194553e-05,4.523883306701687,True
Fbl,1.009639225691318,0.7378403424355866,0.2717988832557314,0.46367575423390006,0.90592061238465,0.02872381982883574,0.04509233882077824,1.3458972383989984,True
Socs2,0.696778601520151,0.425317222472717,0.271461379047434,0.7272532196446476,0.6425148174816669,0.00016634675043547987,0.0004211310137607085,3.3755827742312015,True
Srsf2,1.1380850873216273,0.8672804647699179,0.27080462255170934,0.4021378074707684,1.0019339170717112,0.02431547613176091,0.03900878523811911,1.4088375737229684,True
Nasp,1.2928951618933384,1.0225283472335227,0.2703668146598157,0.3474677129762571,1.1095021502582452,0.02801457345606179,0.044094291903560005,1.3556176272041482,True
Dbf4,0.715651996035821,0.44717710791628357,0.2684748881195374,0.6932618967226141,0.6612156053205025,0.00658363170594571,0.01191967116345029,1.9237357256250522,True
Tceal1,0.24059794458512282,-0.0271627368480324,0.26776068143315523,,0.1462871431016951,0.0025620816632836883,0.005073429036205323,2.2946984098730474,True
Slc22a23,0.33949146345608655,0.07184986520294671,0.2676415982531398,2.2452225045124177,0.26983588084909227,7.951385863488764e-07,3.1594910715849392e-06,5.500382867572306,True
Glb1,0.28231833737787543,0.015438391467125619,0.2668799459107498,4.070348250407462,0.20022606314189087,8.14117974951926e-05,0.00022082766047520599,3.6559465285906327,True
Rps19,0.465664725683226,0.19919382265051025,0.2664709030327157,1.2432936968381536,0.4140589562364413,0.0027214174168919284,0.005360638378644638,2.2707834887001264,True
Ier2,0.46552819798216094,0.19917652453305884,0.2663516734491021,1.2430041473096287,0.41397567596212304,0.004351479297578785,0.008169235226993964,2.0878185985768423,True
Psrc1,0.43127248291801495,0.1649919440432101,0.26628053887480485,1.403976620823778,0.37643732788170364,0.00010966480246630082,0.0002896077529919916,3.538189815967397,True
Fermt2,0.2989839191876952,0.033769485950473514,0.26521443323722166,3.1137077059559,0.22203380839912487,0.002798429056259962,0.0054942978853271505,2.2600877980558427,True
Usp17lc,0.37495098853714215,0.10998623602414159,0.26496475251300056,1.7837435420890664,0.31320940633159766,1.2883976742086578e-05,4.07291150961641e-05,4.390095025539531,True
Slc35d3,0.23309364805076682,-0.030278233926172442,0.2633718819769393,,0.1393486088453491,2.567245373477804e-07,1.109760247901068e-06,5.954770835862104,True
Evc2,0.3586951686410846,0.09586823951216202,0.2628269291289226,1.9160113425108969,0.2954664359835122,0.00015577333106457606,0.00039636979914650395,3.4018994433988956,True
Tcaf1,0.2241037780684695,-0.03652783900481577,0.2606316170732853,,0.1293330992347735,0.013902894149903961,0.02337930630589231,1.6311683790592322,True
Atp8b5,0.294255392027114,0.03511300264951678,0.2591423893775972,3.0383096595729167,0.21993882295083897,0.00010253004002538918,0.00027244474763168074,3.5647215602926887,True
Vars,0.9004351061185989,0.6432646252749509,0.257170480843648,0.4976763585996104,0.8252563650718365,0.01275453377133409,0.021617853849718798,1.665187423587562,True
Ndst3,0.25470178160826545,-0.002225835582621579,0.256927617190887,,0.17151169971925387,5.503614536991093e-13,5.5036145369910925e-12,11.259351990891723,True
Gclm,0.32450089475186294,0.06784931554810295,0.25665157920376,2.262442527515569,0.25842859759634923,0.005703334587825017,0.010464834106100948,1.98026765192883,True
