,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Lhx2_393,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Lhx2
Lbx2_498,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Lbx2
Lhx9_424,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Lhx9
Arx_500,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Arx
Prrx2_519,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Prrx2
Tbx3_765,0.08727229059655824,0.08318089266095251,0.004091397935605728,0.15508823666399768,0.11799630394962386,0.8503662225148565,0.9543577450158396,0.02028879766200524,False,Tbx3
Vsx2_431,0.11034970913460414,0.10660899613338291,0.003740713001221224,0.11873170340398215,0.14858189773795025,0.9517085838221963,0.9915922652070965,0.0036668695514308126,False,Vsx2
Nr2e1_667,-0.006657797382887242,-0.00922398273514636,0.002566185352259119,,-0.01150201149484738,0.958539640925626,0.9915922652070965,0.0036668695514308126,False,Nr2e1
Lhx3_459,0.2569513021385451,0.2546552817026117,0.00229602043593341,0.04358335989503788,0.32861049926470587,0.9640921406266156,0.9915922652070965,0.0036668695514308126,False,Lhx3
Hoxc12_550,0.22487111308598015,0.22336132841744158,0.0015097846685385719,0.04466103059034141,0.2917405377220078,0.9257020098941842,0.9796064859291443,0.008948348094166681,False,Hoxc12
NP_605,0.22487111308598015,0.22336132841744158,0.0015097846685385719,0.04466103059034141,0.2917405377220078,0.9257020098941842,0.9796064859291443,0.008948348094166681,False,NP
Onecut2_827,0.4952276869316601,0.494138682481255,0.0010890044504051066,0.019251088798597812,0.5798397210188024,0.9841791369679903,0.9973490159937272,0.0011528364771164555,False,Onecut2
Onecut1_826,0.4952276869316601,0.494138682481255,0.0010890044504051066,0.019251088798597812,0.5798397210188024,0.9841791369679903,0.9973490159937272,0.0011528364771164555,False,Onecut1
Glis1_185,0.0741589498848748,0.07421246440128783,-5.351451641302796e-05,0.10092186104627074,0.1032434305802235,0.707542530446474,0.9138997394665197,0.039101446481490026,False,Glis1
Gmeb1_715,-0.1354218818593281,-0.13515875423613416,-0.0002631276231939428,-0.058738853299453234,-0.2097122519769777,0.8081749022968923,0.9543577450158396,0.02028879766200524,False,Gmeb1
Sim1_30,0.11884494843009306,0.11979338817326976,-0.0009484397431766961,0.053796961409376426,0.16262147230224508,0.9931581811935957,0.9987171438049511,0.0005574950360713,False,Sim1
Npas3_34,0.11884494843009306,0.11979338817326976,-0.0009484397431766961,0.053796961409376426,0.16262147230224508,0.9931581811935957,0.9987171438049511,0.0005574950360713,False,Npas3
Sim2_92,0.11884494843009306,0.11979338817326976,-0.0009484397431766961,0.053796961409376426,0.16262147230224508,0.9931581811935957,0.9987171438049511,0.0005574950360713,False,Sim2
Npas1_19,0.11884494843009306,0.11979338817326976,-0.0009484397431766961,0.053796961409376426,0.16262147230224508,0.9931581811935957,0.9987171438049511,0.0005574950360713,False,Npas1
Dmrtc2_250,0.19729158217306322,0.1983589880662385,-0.0010674058931752772,0.03210277587867547,0.2604174918718394,0.9863168654550827,0.9973490159937272,0.0011528364771164555,False,Dmrtc2
Gsc2_442,0.052653433613503435,0.054246000359282454,-0.0015925667457790185,0.0987123750186766,0.07512145341896073,0.678667401578286,0.9138997394665197,0.039101446481490026,False,Gsc2
Spdef_279,0.18642814672421962,0.18842725565177645,-0.0019991089275568363,0.0268457018889391,0.24783967486431646,0.9863168654550827,0.9973490159937272,0.0011528364771164555,False,Spdef
Creb1_109,-0.18582766276831097,-0.18359485155355737,-0.002232811214753605,-0.02680580438881775,-0.29461699985356105,0.9086897797368214,0.9771995070555616,0.010016760776684681,False,Creb1
Hoxc11_404,0.12175802458478231,0.12409103248995061,-0.0023330079051682995,0.036633482480193616,0.1672609678420195,0.789134658133174,0.947652777670925,0.023350760092616756,False,Hoxc11
Dux_392,0.2609835314787548,0.26345271675673426,-0.0024691852779794576,0.016785716272632697,0.3359612442276588,0.981186511356827,0.9973490159937272,0.0011528364771164555,False,Dux
Zfp524_212,0.20394170352995766,0.20650560395803916,-0.0025639004280814948,0.02069060587131149,0.26930089268515023,0.9705010183344188,0.9915922652070965,0.0036668695514308126,False,Zfp524
Esx1_444,0.056042419579207796,0.05871750012509792,-0.002675080545890121,0.06732664207461583,0.0804938892025029,0.7994677811644552,0.949031740224831,0.022719262415716913,False,Esx1
Sp5_238,0.15183222223433365,0.1545568256033108,-0.0027246033689771465,0.026037442237734482,0.2056358911529524,0.7247534240465231,0.9224161851652709,0.035073085303234636,False,Sp5
Sp6_191,0.15183222223433365,0.1545568256033108,-0.0027246033689771465,0.026037442237734482,0.2056358911529524,0.7247534240465231,0.9224161851652709,0.035073085303234636,False,Sp6
Etv3_267,0.367854456241977,0.37072455994976,-0.0028701037077830116,0.010434874097846592,0.4534275070319191,0.8090054108011883,0.9543577450158396,0.02028879766200524,False,Etv3
Atf5_791,-0.03308108919352243,-0.030068167385776737,-0.0030129218077456915,-0.13813601249335233,-0.046287217986273915,0.7551031733549591,0.9383219396540803,0.027648128969672354,False,Atf5
Esrrb_669,-0.5609674100292814,-0.556826611667258,-0.004140798362023412,-0.0037361046384561227,-1.1808125579445,0.8980778612714716,0.974020739402998,0.011431795778070129,False,Esrrb
Npas2_44,0.15488500028459565,0.1592669667885837,-0.004381966503988061,0.01064032602044366,0.2104836072907084,0.8934142711281458,0.9708930913500943,0.01282858924020212,False,Npas2
Myt1l_241,0.04803098734648392,0.05244536760305281,-0.004414380256568887,0.030450583141374967,0.07071654550591258,0.9675099464378147,0.9915922652070965,0.0036668695514308126,False,Myt1l
