,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Havcr2,-0.31040034273171396,-0.048875689146561464,-0.2615246535851525,2.6992838487515316,-0.2856674566503256,1.681981041545468e-06,1.3711801969120664e-05,4.862905467615976,True
Cd300ld,-0.7238512867654359,-0.4619129517896411,-0.2619383349757948,0.6424198721201563,-1.2964815084791477,0.020130229614688057,0.0418218066787148,1.3785972098337853,True
Dst,-0.3571692689289655,-0.09496491454450898,-0.26220435438445655,1.9176039741161015,-0.369719589384875,1.7157464519042927e-07,1.876405795249873e-06,5.726673234411111,True
Il13ra1,-0.7075976447771587,-0.4451495600834327,-0.262448084693726,0.6629481393388883,-1.2391356036300116,0.0004126686039328343,0.0015611674801998777,2.8065505038402128,True
Clk1,-0.23633708542455617,0.02623251722947219,-0.26256960265402834,,-0.1601246943110957,0.00332758582868303,0.009175328571736295,2.0373783745595855,True
Naaa,-0.8344103646339478,-0.5707343778993205,-0.26367598673462733,0.5426735186268834,-1.7493894260268896,0.0030879939560339927,0.00865792697953456,2.062586081322462,True
Spi1,-0.6636792737573989,-0.3999574171409031,-0.2637218566164958,0.7248745941377227,-1.0948596905678332,0.00700034017800455,0.017018655213949473,1.7690747601289365,True
Sh3bgrl3,-0.9209185356259771,-0.6553591586799323,-0.2655593769460448,0.4858421028628215,-2.2388090174784283,0.0040082718842165375,0.010726864988982706,1.969527185482635,True
Ralgds,-0.6161200556953541,-0.35047882658663876,-0.26564122910871535,0.8081347500614531,-0.9525996507168535,0.013202720568692145,0.02923111565024091,1.534154608813039,True
Cd28,-0.6829197628041745,-0.41709169658259276,-0.2658280662215818,0.7056562496386614,-1.1520214628958416,0.00027511770529344037,0.0011004708211737615,2.958421468213971,True
Creb5,-0.885213511507691,-0.6188699156630677,-0.2663435958446233,0.5113254043209642,-2.011830655906127,0.00047100378826535723,0.001746614789611955,2.7578028667358487,True
Filip1l,-0.7381493014546573,-0.4702222711569145,-0.2679270302977428,0.6450381475425444,-1.3371046743716566,8.874981672497189e-08,1.0607547815733691e-06,5.974385001883997,True
Eps8,-0.8241428602960994,-0.5562141563001327,-0.2679287039959667,0.5619931877157531,-1.6904908703974146,0.006520391951874259,0.01606007869919768,1.7942523308790352,True
Cd44,-0.8271257562658906,-0.5583052452861406,-0.26882051097975,0.5618101435599168,-1.7023531019777014,0.016976345314532466,0.03611988364794142,1.4422536573379998,True
Dok2,-0.4276517347045769,-0.15881241872509358,-0.2688393159794833,1.4271749928159474,-0.5006915303339187,0.00020333304268954524,0.0008483993436281443,3.071399676151215,True
Rasgef1b,-0.47455690457717153,-0.20570056258548217,-0.2688563419916894,1.2019209163922764,-0.5997434968018442,5.4863082759006106e-08,7.021970826581781e-07,6.153540979182953,True
Icam1,-0.5516150458277306,-0.2823989178915228,-0.26921612793620775,0.9605285538057787,-0.7784494889136903,1.5768518978881992e-06,1.2960426557985199e-05,4.88738070458189,True
Zfp36,-0.47351448616915365,-0.20417094719595758,-0.2693435389731961,1.2095823167751054,-0.5969345782681401,0.0002761062797897978,0.0011029545131416689,2.957442397894277,True
Nfkbiz,-0.5202425717488657,-0.2500234010427653,-0.27021917070610035,1.0521063915047966,-0.7016536837205689,1.3788032528607798e-08,2.1212357736319688e-07,6.673411057321929,True
Tln1,-0.48542769795070867,-0.21504931095195304,-0.2703783869987556,1.1702691628481507,-0.6220178418738423,0.0011208889051699295,0.0036511039256349495,2.4375758050433087,True
Ankrd11,-0.30763467602634986,-0.035994826061568036,-0.27163984996478185,3.149642937917793,-0.27197458820406945,0.0010621253415116618,0.0034900065986144414,2.4571737519121295,True
Uchl1,-0.47300780399925896,-0.19892069048470637,-0.2740871135145526,1.2459790538632545,-0.5906671741915466,1.3859797052842454e-05,8.399877001722699e-05,4.075727073207666,True
Fos,-0.7304558932781936,-0.45619716072344646,-0.27425873255474714,0.6736739963507798,-1.2980572069166234,2.2290658187989522e-06,1.759788804314962e-05,4.754539449585969,True
Rnase6,-0.6139942250759813,-0.3388303477178717,-0.27516387735810965,0.8521484821347806,-0.9334968511792396,3.253751500104679e-08,4.4894443411534417e-07,6.347807408329491,True
Hnrnpa0,0.4185266861880731,0.6951091505397623,-0.2765824643516892,-0.7156911550187344,0.6386002201815584,0.00555293329905182,0.013952093716210602,1.8553606152457658,True
Pglyrp2,0.099402362916493,0.37601488262082916,-0.27661251970433615,-1.8431877584554959,0.3076717200742528,0.0032346145097118953,0.008985040304755266,2.046479970408814,True
Cdh1,-0.6840980266256294,-0.40722754311974363,-0.2768704835058857,0.7428629182071655,-1.1381646123395868,4.301308674360738e-16,4.6085450082436477e-14,13.336436166721022,True
Card11,-0.3024554722109493,-0.02509623849688444,-0.2773592337140649,3.682317330520725,-0.25803839537246764,2.0901492794954798e-05,0.00011808752991499887,3.9277959616163254,True
Atp2b4,-0.08653616190771865,0.19130416673464462,-0.2778403286423633,,0.07366122296822403,4.540355137188739e-06,3.235407461179624e-05,4.490071017314124,True
Emp3,-0.5836759981755252,-0.30571276775576545,-0.27796323041975973,0.9276719138443663,-0.8486461057169076,0.0007476079884249809,0.002607934843342957,2.5837032632200634,True
Eva1b,-0.6051012318774264,-0.32632301376681355,-0.2787782181106128,0.8854830666077412,-0.9043108116472592,2.034743332764074e-05,0.0001156104166343224,3.937003033709639,True
Rhoc,-0.5854986474229585,-0.30560576086674907,-0.2798928865562095,0.9327246734892152,-0.8508764653505427,0.008302170865699413,0.019688942764504534,1.705777603509878,True
Col18a1,-0.09909758226639254,0.1810818183983434,-0.2801794006647359,,0.057959145226975754,9.873788480862363e-05,0.00045223458690972653,3.3446362258703006,True
Ifi27,-0.3308217791964185,-0.04963120996388438,-0.2811905692325341,2.7698807496686007,-0.3044096539286816,0.007936090369201903,0.018910461562832177,1.7232978708511675,True
Map3k14,-0.4224600931887605,-0.1410439388760782,-0.2814161543126823,1.5828023524840165,-0.4774460565887428,7.2542940183995355e-06,4.8469670501555915e-05,4.314529932615645,True
Fads3,-0.2908686366912058,-0.009153655569249438,-0.2817149811219563,5.315713468127675,-0.2344841719573026,7.762005093298083e-07,6.930361690444716e-06,5.159244099289308,True
Nceh1,-0.6971358916627807,-0.4152157861541068,-0.28192010550867386,0.7421734293273753,-1.1719398871582718,0.00011320097743559383,0.0005106811012132053,3.291850213792566,True
Arl4c,-0.8752807345030357,-0.5931843015109921,-0.28209643299204357,0.5562932393270891,-1.9117635005719908,2.8253206132901915e-05,0.00015189895770377374,3.81844520615731,True
Parp1,0.2322658686394987,0.5147290984457094,-0.28246322980621064,-1.1171241877649238,0.45785426717828936,0.004200179179513248,0.011082266964414902,1.955371392185881,True
Gcnt2,-0.6035122058398189,-0.3205282154476914,-0.2829839903921275,0.907661983128279,-0.8943761197694166,0.0003431114741705073,0.001329889434769408,2.876184464194983,True
Ddt,-0.5978503522541924,-0.31465959132168053,-0.28319076093251183,0.9207557371787758,-0.8789977904070805,0.010648147670377705,0.024218683101693037,1.6158494754463468,True
Syngr2,-0.32338282540759566,-0.040168741962547154,-0.2832140834450485,3.055976960949571,-0.2894318587608242,0.006723676033394928,0.016466145387905945,1.7834080543024569,True
Smox,-0.5776684426858181,-0.2942852266018351,-0.283383216083983,0.9679219110213171,-0.8261736771956621,1.6633243247895772e-05,9.70811862717652e-05,4.012864925499003,True
Zyx,-0.5463939888468302,-0.2611436904595803,-0.2852502983872499,1.0603864822355205,-0.7460563191841572,0.0007653595569684527,0.0026574984616960164,2.5755269781977512,True
Susd3,-0.4257902592766551,-0.1401733336144958,-0.2856169256621593,1.6033531207446063,-0.4799183485622438,2.4090982691337024e-05,0.0001330993518858399,3.8758240592743007,True
Tlr2,-1.0176319089262682,-0.7317600863419789,-0.28587182258428934,0.4712582054951904,-2.9964955980154313,0.0008417506533131134,0.0028598549942687886,2.5436559867260007,True
Gpr137b,-0.9776758675233875,-0.6918024947195974,-0.2858733728037901,0.49436249281905087,-2.5971833733422574,0.003181876973250842,0.00889620775373022,2.0507950835357263,True
Cytip,-0.7134199442137821,-0.4255345884967985,-0.2878853557169836,0.7401842093026733,-1.2158386741048919,0.014578984634857493,0.03180869374877999,1.4974541652008715,True
St8sia4,-0.616756492098049,-0.32852440248548986,-0.2882320896125591,0.9035189583105206,-0.923141170907058,6.862308515864076e-05,0.0003278172857896851,3.484368149834626,True
Ssrp1,0.4286984850187253,0.7173568732212509,-0.28865838820252554,-0.7268506508712322,0.6535440567534806,0.016869938862126274,0.035944472007371324,1.4443678914089422,True
Evi2a,-0.851454741467966,-0.5627023028189023,-0.28875243864906364,0.5925737874263715,-1.7714141151861738,0.00011107905825404735,0.000501863215003226,3.299414635572335,True
Fnip2,-0.8987737076291429,-0.6097945957332024,-0.2889791118959405,0.5547876419496516,-2.0249371824310543,0.009353325093097952,0.021802622594633923,1.6614912628232714,True
Bex4,-0.037363654788901315,0.2528030420400797,-0.290166696828981,,0.14759285631681587,0.004503696423047246,0.01164749074926012,1.9337676258075696,True
Prr13,-0.954008991983401,-0.6630067730063701,-0.2910022189770308,0.5203081545441561,-2.3846430879608094,0.0014392767558069864,0.0045885550131997445,2.33832405707594,True
Mcub,-0.8603644690744678,-0.5685605486131817,-0.2918039204612861,0.5927019124143699,-1.8082479105810985,2.1381502820312355e-05,0.0001203461697203322,3.9195677275393073,True
Zfhx3,-0.5927795707742115,-0.3004791810170129,-0.29230038975719863,0.9753054110988375,-0.8536820349362295,2.244341597076098e-06,1.762571934876517e-05,4.7538531493536365,True
Lrp1,-1.1106632562357508,-0.8178933897196307,-0.29276986651612014,0.4372162800515322,-4.807056377653336,3.3496660725372946e-05,0.0001744617746113174,3.7582997142287393,True
Gabarap,-1.1072580238259477,-0.8136288600560693,-0.29362916376987847,0.44032284162716606,-4.659939291667011,0.021638879416053598,0.04437227494747833,1.3528883046210847,True
Lrrc25,-0.71727370512536,-0.4227004955731858,-0.29457320955217425,0.7577078961097672,-1.217548156042412,3.544865978036996e-07,3.4753588019970554e-06,5.4590003514527785,True
Fam133b,0.17533442219477705,0.4701434024744631,-0.29480898027968605,-1.3809512036124887,0.4035283246158618,0.005968485663071184,0.014834678532902695,1.8287218603952788,True
Gmpr,-0.0076673238049634485,0.28942736363592675,-0.2970946874408902,,0.1901470792915122,0.0126984260610895,0.028302584088609584,1.5481739106174013,True
Tnf,-0.6484267954170573,-0.3501875684999506,-0.2982392269171067,0.8837743076770262,-0.9980023333946524,0.0005691701109040457,0.0020647041508006494,2.6851421691308732,True
Itm2a,-0.1268904674036922,0.17265124600140405,-0.2995417134050963,,0.032637453143598255,0.001833504254265109,0.0055899519947106985,2.2525919217239108,True
Scimp,-0.657115131142301,-0.35751034370406964,-0.2996047874382314,0.8731266362975724,-1.0212559206896727,1.5692085703941468e-08,2.3775887430214343e-07,6.623863264133872,True
Adora3,-0.41013626917241874,-0.1098055520522495,-0.30033071712016923,1.9065803337479572,-0.434346112942415,1.0026344293271878e-09,2.1796400637547562e-08,7.661615217969385,True
Gm2a,-0.9467632684147783,-0.6459420875815737,-0.30082118083320464,0.5469738092042098,-2.2958552521153495,0.00019317546313887945,0.0008116616098272246,3.0906249949155886,True
Tubb2a,-0.753010170928885,-0.45205536724673473,-0.3009548036821503,0.7311173522515907,-1.331092172224319,1.0121499505708447e-08,1.6413242441689371e-07,6.784805615447105,True
Ier5,-0.6617418743820087,-0.3593178771181965,-0.3024239972638122,0.8760246923317568,-1.0307072900367038,9.051076273151032e-07,7.939540590483361e-06,5.100204626639696,True
Tcf7l2,-0.8268257600196524,-0.5243312002784982,-0.30249455974115413,0.6521948188961709,-1.624058573875701,0.0007501203001321281,0.0026106274946593785,2.583255092388157,True
Blvrb,-1.1662140050622878,-0.8622797369815529,-0.30393426808073487,0.4315723891970311,,0.023612504150932034,0.0478631840897271,1.3199984133991172,True
Zfp36l2,-0.32099734331042357,-0.016908532893850744,-0.3040888104165728,4.401347542589347,-0.26699791627421776,0.00011427621940839629,0.000513985994340613,3.2890487149803254,True
Efhd2,-0.9571538292419742,-0.6525385792383566,-0.30461525000361767,0.5481162953198979,-2.3573165712822433,0.006621332559981742,0.01624202590347116,1.7893598012140548,True
Ppp1r16b,-0.2724763954914332,0.03448942263212713,-0.30696581812356033,,-0.18277540938423859,2.1293454844787557e-05,0.00012007587318489224,3.9205442465128475,True
Fam129b,-0.7620693218896106,-0.45204941933131715,-0.3100199025582935,0.7485259481351877,-1.3476167471765201,2.6247407002835395e-06,2.0242216197559428e-05,4.693741940958683,True
Eef1a1,-0.14515406635237144,0.16526349936981014,-0.3104175657221816,,0.014433448519252344,0.0005789805797233616,0.0020927008905663675,2.679292840872721,True
Fam96a,-0.7982737586326035,-0.4877278362645787,-0.3105459223680248,0.7059375609959773,-1.4860072432559923,0.0019426880266167888,0.005857350834020469,2.232298762532395,True
Ly86,-0.42995122317890283,-0.11820136496536487,-0.31174985821353796,1.8674333098289988,-0.4621101649354901,7.075487171378781e-07,6.374312767007911e-06,5.195566630907288,True
Rnd3,-0.8022158278470206,-0.49018552896818973,-0.3120302988788309,0.7058163003913489,-1.4989968132135023,7.58009632308351e-07,6.8084697512726135e-06,5.166950487684406,True
Gnas,-0.4409720496752836,-0.1283026154363088,-0.31266943423897475,1.7841961172725223,-0.483253264363095,6.767435281642049e-06,4.572591406514898e-05,4.339837604178883,True
Mdm2,-0.4438517910451367,-0.13062980536438504,-0.31322198568075166,1.7673745318314875,-0.48851333526125806,0.0003184918448025983,0.0012408773174127207,2.9062711540407107,True
Plec,-0.8643045849266949,-0.5510724475176275,-0.3132321374090674,0.6445732254803563,-1.7744215867700939,0.0007756782210116048,0.0026840076851612623,2.57121624497907,True
Slc6a6,-0.8085776377562204,-0.4941574738537487,-0.3144201639024717,0.7056065518211594,-1.5202212600731544,0.00012940301785023515,0.0005717364558920551,3.2428041147859528,True
Cd14,-1.0963163074043973,-0.7816912518687213,-0.314625055535676,0.48383488528676405,-4.0351363410641286,0.0034077580436044897,0.009361972647265081,2.02863263207839,True
Gata2,0.40557441915832665,0.7202048719703822,-0.31463045281205554,-0.8114217654777388,0.6442159143467369,0.0017685053632492001,0.005441554963843693,2.264276979765056,True
