,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Naif1-637,-0.17400218070316198,-0.35960193136266627,0.7399576010584692,-0.39053223733282183,0.032529613030599994,0.31373685793167294
Hlf-99,0.4783481981585441,-0.24926401095938852,1.0851723698611309,-0.41173212296239525,-0.3298041801811687,0.35455562255659556
Nfil3-131,-0.04239209907593955,-0.4922834967445157,1.1918076762747039,-0.6651723152739335,-0.445359072795431,0.2782134809814179
Pou3f3-540,-0.014016341807355004,-0.6522479717321441,1.1702253966720275,-0.48382298602423246,-0.13176568588451829,0.3832190127741614
Tef-105,-0.05251964545967308,-0.3057721343738275,0.944630124289357,-0.3982308462348144,-0.3110502332135642,0.26658957871261696
Dbp-133,0.08842448242201628,-0.26974543141532464,1.2958806428982497,-0.32362328106775,-0.33717202313228195,0.40496085634592416
Nfix-722,-0.4826689867262557,0.7954603876359081,-0.1768106762515228,0.8758784263301602,0.025705136251292875,0.2571956787288041
Nhlh2-84,-0.46600033422229237,0.27134714305695473,-0.5645039503677449,0.3427736026022243,0.02381696083228753,-0.2255334712602358
Tal1-782,-0.6571676680325231,0.43857774302671293,-0.6324308965654029,0.4826106170258587,0.08867114111760091,-0.06490082687177988
Lyl1-783,-0.6571676680325231,0.43857774302671293,-0.6324308965654029,0.4826106170258587,0.08867114111760091,-0.06490082687177988
Myod1-24,-0.9720289746936305,0.4505346402377311,-0.32805836743903866,0.8708402110524972,0.5021237353012149,0.06710159750917884
Irf3-630,-0.7366930115151333,0.049747842830085036,-0.37412224246966935,0.49919040615396976,0.2771831543702451,0.14502262002665514
Myf5-778,-0.774421018886007,0.2225172893824303,-0.10219160966712212,0.6007382712627845,0.28341313283262676,0.019770100577357955
Tbx4-761,1.2335658101250107,0.15618887807061613,0.08588270749870264,0.42751399838042475,0.08453208044096855,0.023842213742705454
Dlx4-427,0.7265527952638982,0.014338972038833688,0.2687056567696928,-0.0500422240173896,-0.03485388847389878,0.11860035679399547
Zfp161-209,0.6442856456230733,0.16252120472506387,0.20539311045612782,0.09965924910655856,-0.07055505047532475,0.13075252497231274
Pou6f1-416,0.6072369542125093,0.14880792513471858,0.07679342430169633,0.1074121687577826,0.020371979437711036,0.1689944292003914
Tbx5-764,0.521192750139355,0.0986479708288792,0.005324465801322223,0.30685810235316446,-0.13105301444299444,-0.010886076449633228
Gm5294-338,0.32246799209532884,-0.053519145831921515,0.12637432319769248,0.1902314445752912,0.048199407195753934,0.09039185222124993
Foxl1-364,0.32246799209532884,-0.053519145831921515,0.12637432319769248,0.1902314445752912,0.048199407195753934,0.09039185222124993
Foxl1-375,0.5352208301265967,0.29552049926891377,0.6245193673173606,0.5270705923829302,0.3214753162329115,0.3710554156654834
Mnx1-402,0.47977661136355276,0.26840202744768465,0.4750498642516602,0.3413611700168907,0.05436939043075678,0.28120932798540715
Dlx1-528,0.33812998565638713,0.28947015772902224,0.34195038161825114,0.1813483256120332,-0.01596561240265823,0.21339064332365043
Stat6-753,-0.42049242611026755,-0.06718282423503211,-0.06905743929528191,-0.2581518015135852,-0.443221900556723,-0.04830790327299545
Six3-516,0.2966418738913712,-0.29366243161530214,-0.0050654544767106,-0.39143865705559067,-0.5095685026246048,-0.23705479823630202
Pax2-612,0.4263314645680436,-0.23597468325269427,-0.2549156515346569,-0.20157535325505233,-0.17648962291137948,-0.12539677892568613
Nr1h3-655,-0.15224904057975824,-0.40218070937537526,-0.27780484821430146,-0.3164324824161906,-0.14885355065754335,-0.1445939137684363
Nr1h2-688,-0.15224904057975824,-0.40218070937537526,-0.27780484821430146,-0.3164324824161906,-0.14885355065754335,-0.1445939137684363
Creb3l2-118,0.301258759494662,-0.14301207683247022,0.31711218388581475,-0.13665681308826394,0.10637483410283205,0.10454130261713128
Id2-33,-0.044088534712914296,-0.22555271838093954,0.05721465541080496,-0.21785225566050662,0.06277942973988056,0.1287169191488097
Id1-74,-0.044088534712914296,-0.22555271838093954,0.05721465541080496,-0.21785225566050662,0.06277942973988056,0.1287169191488097
Arnt-25,0.20104596832678687,-0.19833725973268557,-0.025193653996905322,-0.3526532485004254,-0.1330577681266878,-0.013601843698061127
