,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Mesp1-58,0.7175591652135878,0.5478251142500016,0.35225678178588027,1.2399124501528394,0.7431753183828474,0.31595888200783034
Snai2-799,0.34369707794274845,0.2530380045217448,0.320978120531439,1.0578257197200638,0.6565252217313059,0.08591249698946024
Tcf3-31,0.6194362120240534,0.5856940059842219,0.18708396851104803,1.0911390505400584,0.6992937139156056,0.25222983987797426
Tcf4-88,0.5523739776719694,0.52686610738278,0.1789150913049605,1.1538879044151402,0.630635552809459,0.27337258480289484
E2f8-263,-0.19372089718611096,0.5267434377530378,0.06838462046956469,0.3848604619183896,0.3649760910231397,0.15736811062724584
Dbx1-480,0.1071985337276931,0.5500294222134744,-0.07746083566915946,0.6342763403351872,-0.01774356139210717,0.22341911706149073
Stat3-754,-0.03626789870935411,0.3730639644004587,0.11430982232006574,0.29502350036359576,0.18183639944609226,0.32432972739162463
Foxl1-355,0.23138938030710768,0.4941543982888062,0.34971018501040946,0.43119379200637353,0.07087100252771175,0.17548846349247518
Stat1-757,0.4957221353043971,0.5799396864219428,0.13625056729168372,0.33187067522807284,0.09636581879345593,0.34871691823651974
Arid3c-10,0.3502403859898645,0.5027627946624709,0.19368992481524416,0.4803076775175223,0.6012002400757913,0.25454973606810155
Arid3a-7,0.21288647047977233,0.7473223225473394,0.368870720166982,0.5084148580089072,0.47269419087931064,0.24978070926215595
Gm5294-337,0.3100201448230976,0.43253333132379157,0.20528600544817283,0.6265929875768859,0.22977854254197497,0.30607560893525615
Foxl1-358,0.3100201448230976,0.43253333132379157,0.20528600544817283,0.6265929875768859,0.22977854254197497,0.30607560893525615
