,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Nr1i3_658,-0.19248357741260588,-0.33334218203611854,0.14085860462351266,-0.8948418428882599,-0.4400929456328758,0.438177296585458,0.763779398395996,0.1170320601334305,False,Nr1i3
Tbp_772,0.30053964919597914,0.1597116067838474,0.14082804241213173,0.9611285429427612,0.2988056599733862,0.2039322783133919,0.5183523615919644,0.28537491849627455,False,Tbp
Tbpl2_773,0.30053964919597914,0.1597116067838474,0.14082804241213173,0.9611285429427612,0.2988056599733862,0.2039322783133919,0.5183523615919644,0.28537491849627455,False,Tbpl2
Nfic_724,0.19410203094759804,0.05399250234687443,0.14010952860072362,1.8959648770657553,0.1687027027508408,0.2512904054083016,0.5878995691515173,0.2306968580881544,False,Nfic
Rest_805,-0.06243619971623077,-0.20032804568043708,0.1378918459642063,-2.0422664564830475,-0.20320644922306674,0.38907983027960336,0.7129197881438477,0.1469593306336071,False,Rest
Hoxb5_512,0.22603962545322875,0.08830002612920797,0.1377395993240208,1.4121904629862692,0.21060060934373753,0.2771342618050894,0.5998398634818493,0.2219646757640261,False,Hoxb5
Hmg20b_729,0.5965844961444438,0.4588848294955094,0.13769966664893435,0.40645960732146286,0.6113939976444117,0.24651976165619216,0.5842221349129915,0.2334219925722293,False,Hmg20b
Hoxa6_533,0.23343494994974856,0.09634741698286028,0.13708753296688828,1.3327551527302928,0.2201951940162522,0.33642760456784215,0.660926179706057,0.17984704510839444,False,Hoxa6
Prkrir_774,0.14622771688055727,0.012932207057045482,0.1332955098235118,3.4261946976511464,0.11047010437338133,0.48482645368921073,0.7856600922802192,0.10476530634684766,False,Prkrir
Hdx_495,-0.21769655579124964,-0.3507584435590017,0.13306188776775207,-0.7778315706788546,-0.48242697779839416,0.3514388368628468,0.6767883277577095,0.16954713997218138,False,Hdx
Nr2e3_683,0.1103058746162557,-0.022377878311065812,0.1326837529273215,,0.06207196039219167,0.48144201315023716,0.7856600922802192,0.10476530634684766,False,Nr2e3
Zfp691_203,0.08066706833652115,-0.05183691231514708,0.13250398065166824,,0.02064809460570962,0.24462938812646118,0.5831435684528075,0.23422450988785884,False,Zfp691
Zbtb7b_174,0.5626330749136353,0.4309000813624722,0.13173299355116314,0.41433417842566456,0.5818492495726703,0.20283096636767273,0.5183523615919644,0.28537491849627455,False,Zbtb7b
Zic2_225,0.23487870576590533,0.10612680016603435,0.12875190559987099,1.2043739185645785,0.22712832760300727,0.44138852689345287,0.7649335081041242,0.11637631428233548,False,Zic2
Arid5a_9,0.24397199356336477,0.11662742068707584,0.12734457287628892,1.122373880902951,0.23915324185992123,0.34230310755143156,0.6664709511266284,0.17621877504283445,False,Arid5a
Gm5294_332,0.5502885050119546,0.42470864348199727,0.12557986152995732,0.4039119167950124,0.572888285611974,0.4809595734581723,0.7856600922802192,0.10476530634684766,False,Gm5294
