,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Alx1_505,0.16411725658825752,0.16825864231508023,-0.0041413857268227106,-0.006497226549574952,0.221800320176789,0.8855930086327196,0.9678971915911508,0.014170770269963653,False,Alx1
Klf8_194,-0.2580809148717709,-0.252892972107178,-0.00518794276459289,0.01037969998254971,-0.425630945344168,0.5380029167520735,0.8987094177563045,0.04638070722650144,False,Klf8
Nr1h4_850,-0.9535076933104633,-0.9483052299359718,-0.005202463374491484,0.0027813378251973367,-4.3483230382536835,0.9044460719177533,0.9765199549239301,0.010318877593943373,False,Nr1h4
Nr1h5_851,-0.9535076933104633,-0.9483052299359718,-0.005202463374491484,0.0027813378251973367,-4.3483230382536835,0.9044460719177533,0.9765199549239301,0.010318877593943373,False,Nr1h5
Nr4a2_677,-0.5846822516016422,-0.578069490403945,-0.00661276119769727,0.008082524758817374,-1.256272625669837,0.9585240435749586,0.9842973035096615,0.006873704645868251,False,Nr4a2
Neurog1_85,-0.07076622131438944,-0.06408201939784833,-0.006684201916541108,0.07489182844865568,-0.10070697892193868,0.8801201361614626,0.9678971915911508,0.014170770269963653,False,Neurog1
Pou6f1_416,0.14799357158199594,0.15468806359222348,-0.006694492010227537,-0.030879762088585862,0.20331496036865176,0.9044460719177533,0.9765199549239301,0.010318877593943373,False,Pou6f1
Zfp957_16,0.328031073829101,0.335035086162021,-0.007004012332919973,-0.01561258432868539,0.4130882706459533,0.8989555036899215,0.9764516678011217,0.010349248460870186,False,Zfp957
Dbx1_480,0.3195375174156863,0.32654635238994917,-0.007008834974262856,-0.016039631670296293,0.4038587897477598,0.6329442398048147,0.9272409367279232,0.03280740296919602,False,Dbx1
Nkx62_838,0.3195375174156863,0.32654635238994917,-0.007008834974262856,-0.016039631670296293,0.4038587897477598,0.6329442398048147,0.9272409367279232,0.03280740296919602,False,Nkx62
Nr3c1_673,-0.044193642499656446,-0.037137651051861155,-0.0070559914477952915,0.14368196303452235,-0.05989437487910978,0.954035545649494,0.9842973035096615,0.006873704645868251,False,Nr3c1
Atf6_111,-0.16241317845453757,-0.1553110681892511,-0.007102110265286454,0.03464114044811905,-0.2495857929846033,0.7405660663183027,0.9373033539319485,0.028119828944573978,False,Atf6
Atf6b_100,-0.16241317845453757,-0.1553110681892511,-0.007102110265286454,0.03464114044811905,-0.2495857929846033,0.7405660663183027,0.9373033539319485,0.028119828944573978,False,Atf6b
Tead3_867,-0.04865446876992236,-0.040745266066135294,-0.007909202703787067,0.1596179347572445,-0.0659740300516703,0.8708977687328746,0.9678971915911508,0.014170770269963653,False,Tead3
Hoxa10_395,0.16327431647482887,0.172238200664712,-0.008963884189883115,-0.04702299169089982,0.2237391772583159,0.8277737099890765,0.9564033688343779,0.019358902795070826,False,Hoxa10
E2f1_261,0.2919593688221576,0.30111773721542784,-0.009158368393270222,-0.027785519885082554,0.3746651058611434,0.7586395336836389,0.9373033539319485,0.028119828944573978,False,E2f1
Zfp384_811,0.03634564564323571,0.04606058694691128,-0.009714941303675569,-0.20404630581198838,0.05825153481155909,0.6142450576304398,0.9272409367279232,0.03280740296919602,False,Zfp384
Arid3b_6,0.3636843071912289,0.3735906837339765,-0.00990637654274762,-0.025303350701551746,0.45274037738297745,0.8531866039273825,0.9678971915911508,0.014170770269963653,False,Arid3b
Pgr_849,0.0708033728308757,0.08075598880235703,-0.009952615971481324,-0.1194567923346066,0.10538264486556616,0.7307671131034019,0.9373033539319485,0.028119828944573978,False,Pgr
Foxd2_322,-0.07136545585895722,-0.060897072187316756,-0.010468383671640463,0.16403208040259004,-0.09870831504209049,0.8328427808277681,0.9589651862794927,0.018197158920212994,False,Foxd2
Foxe3_315,-0.07136545585895722,-0.060897072187316756,-0.010468383671640463,0.16403208040259004,-0.09870831504209049,0.8328427808277681,0.9589651862794927,0.018197158920212994,False,Foxe3
Hoxc8_405,0.16582646897394196,0.17641673879155875,-0.010590269817616793,-0.05954456601891896,0.22789088643688996,0.7844965473751567,0.9373033539319485,0.028119828944573978,False,Hoxc8
Gli2_815,-0.00790918583043661,0.003235927244145975,-0.011145113074582585,,-0.0033749880789915223,0.7725310478652336,0.9373033539319485,0.028119828944573978,False,Gli2
Gli1_801,-0.00790918583043661,0.003235927244145975,-0.011145113074582585,,-0.0033749880789915223,0.7725310478652336,0.9373033539319485,0.028119828944573978,False,Gli1
Zfp300_180,0.2746789565384314,0.28584667249856655,-0.01116771596013516,-0.03958880030244149,0.35643999950841737,0.7372949786576897,0.9373033539319485,0.028119828944573978,False,Zfp300
Hoxd12_409,0.3627949709957921,0.37399093338659806,-0.011195962390805947,-0.030320645308893373,0.4524825787412534,0.7868291974651141,0.9373033539319485,0.028119828944573978,False,Hoxd12
Gm4881_292,0.38857383375317506,0.3999635092379093,-0.01138967548473424,-0.029051351439103614,0.4795085911102754,0.9599053910773626,0.9842973035096615,0.006873704645868251,False,Gm4881
Ets2_828,0.38857383375317506,0.3999635092379093,-0.01138967548473424,-0.029051351439103614,0.4795085911102754,0.9599053910773626,0.9842973035096615,0.006873704645868251,False,Ets2
Gabpa_273,0.38857383375317506,0.3999635092379093,-0.01138967548473424,-0.029051351439103614,0.4795085911102754,0.9599053910773626,0.9842973035096615,0.006873704645868251,False,Gabpa
Bcl6_162,0.052543236920126066,0.06413431045717115,-0.011591073537045082,-0.19134776972328904,0.0818015073086498,0.9979252696733658,0.9989626339599127,0.00045075618694769855,False,Bcl6
Klf7_171,-0.22303998695895402,-0.2111291886523242,-0.011910798306629833,0.05770601288304088,-0.3530716507170274,0.7530385697999562,0.9373033539319485,0.028119828944573978,False,Klf7
Rfx6_705,0.16219839562251415,0.17455747808388208,-0.012359082461367937,-0.07533323474517459,0.22450702030385522,0.8375801968614992,0.9631626253348661,0.016300378168635582,False,Rfx6
Phox2b_418,0.1323412629808736,0.1447399580004715,-0.012398695019597922,-0.09154875887564974,0.1871857517368054,0.9550712286819183,0.9842973035096615,0.006873704645868251,False,Phox2b
Vsx2_431,0.06483506815253667,0.07770973550387895,-0.012874667351342281,-0.18305039455228142,0.09932537345660057,0.6923427845713669,0.9373033539319485,0.028119828944573978,False,Vsx2
Foxl1_380,0.9221776123799877,0.9357888452222584,-0.013611232842270615,-0.015831911882960764,0.9478406001881404,0.7821658316491761,0.9373033539319485,0.028119828944573978,False,Foxl1
Gm5294_352,0.16726607690272657,0.18094162963278412,-0.01367555273005755,-0.08359640648318803,0.23156002511556678,0.5981988194100523,0.9272409367279232,0.03280740296919602,False,Gm5294
Foxl1_378,0.16726607690272657,0.18094162963278412,-0.01367555273005755,-0.08359640648318803,0.23156002511556678,0.5981988194100523,0.9272409367279232,0.03280740296919602,False,Foxl1
Hoxb1_423,-0.20177260325989277,-0.18766890177197934,-0.014103701487913428,0.08103525612190347,-0.3124389401064064,0.9723424388656197,0.9903961738455167,0.004191046111708398,False,Hoxb1
Atf7_124,-0.7077000719280133,-0.6935460600560079,-0.014154011872005379,0.022310832598512978,-1.7399650240394702,0.9243857972619582,0.9765199549239301,0.010318877593943373,False,Atf7
Pitx2_464,0.33661909630481834,0.35133973641177396,-0.014720640106955618,-0.04707891242427401,0.4265110427705337,0.9526547559698705,0.9842973035096615,0.006873704645868251,False,Pitx2
Zfp637_220,0.3776197081299797,0.392632694512151,-0.0150129863821713,-0.04318096389719029,0.47001742878380676,0.5408673276538436,0.9000848735673397,0.04571653680063454,False,Zfp637
Hoxa11_507,0.4603622832523347,0.4754727401329236,-0.01511045688058893,-0.035897828097195945,0.5537708995056383,0.8753360564967836,0.9678971915911508,0.014170770269963653,False,Hoxa11
Pax4_475,0.06358469602033788,0.07875936600740917,-0.015174669987071288,-0.2278480509239876,0.09919019657735337,0.6072582771101058,0.9272409367279232,0.03280740296919602,False,Pax4
Isx_482,0.10002413695295823,0.11534880663535128,-0.015324669682393058,-0.15492171929142445,0.1475495875273618,0.5767105733411835,0.9265186260235406,0.03314584553241919,False,Isx
Foxn3_829,0.06569888246994658,0.08115706066161332,-0.015458178191666741,-0.2264919718275469,0.10222538770232817,0.7861625297849786,0.9373033539319485,0.028119828944573978,False,Foxn3
Zfx_240,0.05668464740160196,0.07240996004426944,-0.015725312642667487,-0.2618089986713134,0.09024005813236226,0.7579799325834253,0.9373033539319485,0.028119828944573978,False,Zfx
Osr1_206,0.04036809526885892,0.05618584893481067,-0.01581775366595175,-0.34707194415707476,0.06801995111628152,0.6923427845713669,0.9373033539319485,0.028119828944573978,False,Osr1
Rest_805,-0.12825345563093646,-0.11104650749747878,-0.017206948133457675,0.17227264374157078,-0.18385085583887467,0.5948924592978694,0.9272409367279232,0.03280740296919602,False,Rest
Arnt_25,-0.1673583665227045,-0.14981562139153004,-0.01754274513117446,0.1320349607245219,-0.24911397631887178,0.7467940282893069,0.9373033539319485,0.028119828944573978,False,Arnt
Hoxa1_479,0.13991615843297528,0.15866683647172486,-0.01875067803874958,-0.14511191250987518,0.20074475846524312,0.72881252475606,0.9373033539319485,0.028119828944573978,False,Hoxa1
Irx1_565,0.01692752271015462,0.03594241683380621,-0.01901489412365159,-0.7665177273805451,0.037642227778347546,0.72881252475606,0.9373033539319485,0.028119828944573978,False,Irx1
Pit1_624,0.002739906814531398,0.022026685668358446,-0.019286778853827048,-1.5657522819555076,0.01775560909577072,0.6710449405136627,0.9373033539319485,0.028119828944573978,False,Pit1
Bhlhe23_77,0.02184789355786776,0.04135510671863978,-0.019507213160772023,-0.6713102859212762,0.044885776185136575,0.7748535391584673,0.9373033539319485,0.028119828944573978,False,Bhlhe23
Msx3_453,0.2964592342243489,0.31632392447610125,-0.01986469025175236,-0.07673271971189004,0.3855873968168813,0.9944674238969954,0.9989626339599127,0.00045075618694769855,False,Msx3
Nr2f2_680,-0.568090091631031,-0.5478649958274769,-0.020225095803554027,0.04385702431589566,-1.177808429507139,0.9485132561307004,0.9842973035096615,0.006873704645868251,False,Nr2f2
Ppard_656,-0.3182189428342832,-0.29759192864925965,-0.02062701418502355,0.08183009686880374,-0.5309589210924183,0.8284491766320462,0.9564033688343779,0.019358902795070826,False,Ppard
Klf12_236,-0.25675600829604855,-0.23611658622621676,-0.020639422069831798,0.10264079792479998,-0.40819861924104495,0.806564207723578,0.9463904591895892,0.023929646594623287,False,Klf12
Lhx5_471,0.2588030698096685,0.2795407043918757,-0.02073763458220723,-0.09182546895179697,0.34388747018358906,0.9941216439629175,0.9989626339599127,0.00045075618694769855,False,Lhx5
Foxl1_358,0.6780372569705331,0.6993180287564493,-0.021280771785916253,-0.03730985573435846,0.7558939536999225,0.7915002211650791,0.9373033539319485,0.028119828944573978,False,Foxl1
Gm5294_337,0.6780372569705331,0.6993180287564493,-0.021280771785916253,-0.03730985573435846,0.7558939536999225,0.7915002211650791,0.9373033539319485,0.028119828944573978,False,Gm5294
Zfp740_204,0.28441147310433834,0.3058413776145124,-0.02142990451017407,-0.08719021578548632,0.3730929352373315,0.7219854121337919,0.9373033539319485,0.028119828944573978,False,Zfp740
Atf3_110,-0.32596100014476503,-0.30407076452149584,-0.021890235623269194,0.08581881465545323,-0.545857557367311,0.5368592882368086,0.8987094177563045,0.04638070722650144,False,Atf3
Arnt2_26,-0.6076090234239836,-0.5846179289531839,-0.022991094470799722,0.04777089772881637,-1.307978085401922,0.7579799325834253,0.9373033539319485,0.028119828944573978,False,Arnt2
Ahctf1_13,0.6848846671314497,0.7080520645339129,-0.023167397402463208,-0.040782816809731934,0.7625345282617854,0.9965421230498256,0.9989626339599127,0.00045075618694769855,False,Ahctf1
Batf_790,-0.9357730774099414,-0.9122042005996576,-0.023568876810283856,0.031655787064714544,-3.717641123501667,0.9509289691982274,0.9842973035096615,0.006873704645868251,False,Batf
Batf3_789,-0.9357730774099414,-0.9122042005996576,-0.023568876810283856,0.031655787064714544,-3.717641123501667,0.9509289691982274,0.9842973035096615,0.006873704645868251,False,Batf3
Mafg_123,-0.44107836082937496,-0.41741045483810285,-0.02366790599127211,0.06880426545107239,-0.8090550050873914,0.7481073035127499,0.9373033539319485,0.028119828944573978,False,Mafg
Gbx1_571,0.04906489669403761,0.07291922948177751,-0.0238543327877399,-0.4606361141030409,0.08541386399391764,0.6478258835499169,0.9360590514899311,0.02869675283531915,False,Gbx1
Hes5_83,0.1833005012639201,0.20733513019327535,-0.024034628929355234,-0.149897057515687,0.2573942585531353,0.8105936716634188,0.9483601903206833,0.0230266848572031,False,Hes5
En1_563,-0.018609680814648314,0.006522100783547963,-0.025131781598196276,,-0.00874580147997814,0.7894974263866523,0.9373033539319485,0.028119828944573978,False,En1
Lhx4_454,-0.018609680814648314,0.006522100783547963,-0.025131781598196276,,-0.00874580147997814,0.7894974263866523,0.9373033539319485,0.028119828944573978,False,Lhx4
Usf1_46,-0.21107198252616105,-0.18515790486972966,-0.02591407765643139,0.16742323602252224,-0.31853264198215053,0.9827119140744403,0.9962665611651222,0.0016244461601017414,False,Usf1
Gsx2_502,0.08819716108297235,0.1141299729427384,-0.02593281185976605,-0.31156837587164504,0.1390287829725611,0.6773758420703744,0.9373033539319485,0.028119828944573978,False,Gsx2
Nobox_476,0.15507240908341524,0.18133477879451562,-0.02626236971110038,-0.19236791393020608,0.22429172830147506,0.7748535391584673,0.9373033539319485,0.028119828944573978,False,Nobox
E4f1_873,-0.173532124100491,-0.1466730437243209,-0.026859080376170075,0.21700223338766705,-0.25171496501909335,0.7003536027940187,0.9373033539319485,0.028119828944573978,False,E4f1
Klf5_145,-0.12695866039467973,-0.10002792785796498,-0.026930732536714755,0.3106686771416577,-0.17379655062847618,0.8579481049953732,0.9678971915911508,0.014170770269963653,False,Klf5
Nkx29_564,0.06343738451364388,0.09063239789466385,-0.02719501338101997,-0.42882044310121253,0.10706498762756125,0.9664683650495606,0.9866031226547598,0.005857514305070643,False,Nkx29
Sp100_714,0.08181988271165581,0.10907610725026116,-0.02725622453860535,-0.34921091038553337,0.13152099581699012,0.6691501885990432,0.9373033539319485,0.028119828944573978,False,Sp100
Zfp128_223,0.08318737869359993,0.11047661336247573,-0.027289234668875798,-0.3448372888062019,0.13334256215035478,0.7672301723248502,0.9373033539319485,0.028119828944573978,False,Zfp128
Zbtb4_151,0.024630541964920347,0.05195263685320966,-0.027322094888289312,-0.8463998591927231,0.05421166095847999,0.9751072475959202,0.9903961738455167,0.004191046111708398,False,Zbtb4
Nfatc2_700,-0.2769240383557683,-0.24904161721689966,-0.02788242113886863,0.1364515111778299,-0.44022986094167216,0.6381982536144448,0.9288628047655781,0.032048427592279764,False,Nfatc2
Rax_447,0.09619686181182877,0.12446644032885959,-0.028269578517030824,-0.31623471376591455,0.1509906674661511,0.7158275059312058,0.9373033539319485,0.028119828944573978,False,Rax
Terf2_648,0.040793276791678795,0.07029567378471928,-0.029502396993040483,-0.646965432315478,0.07798736781432458,0.3980578955379439,0.8525483470384693,0.0692809832953959,False,Terf2
