,Ery/Meg,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Jun_126,-0.7131524159893902,-0.6633875184741179,-0.049764897515272244,0.06304413961219717,-1.6816309407627683,0.8747412303830358,0.9560368837643588,0.01952535238254553,False,Jun
Sox17_733,-0.3695148106575093,-0.3194969157895025,-0.050017894868006785,0.12940904511362855,-0.609345218912196,0.8297966791815135,0.945431623453903,0.02436987520653854,False,Sox17
Tcf7_726,0.18733018525167647,0.2388272736093192,-0.051497088357642745,-0.2006876899079782,0.2786731851435745,0.9862006197885221,0.9963676364873729,0.0015803874414473853,False,Tcf7
Egr3_183,-0.29027573383468014,-0.23871872956020726,-0.05155700427447288,0.17934717622772253,-0.4431973233476326,0.6575724965763642,0.8868179540983994,0.05216552294711759,False,Egr3
Foxq1_309,0.17423598612608232,0.22594814184712242,-0.0517121557210401,-0.214483201672687,0.2631450851356205,0.793773281815841,0.9319561660305422,0.03060451393222201,False,Foxq1
Gm5294_349,0.10282831567399084,0.15457363771520108,-0.05174532204121024,-0.32433006349805477,0.17466332793603376,0.4887320041553126,0.8113841833983961,0.09077346240658679,False,Gm5294
Mbd1_248,-0.002008368721256029,0.05116930487242123,-0.05317767359367726,-1.395249226502705,0.03503329458315109,0.5521897363654463,0.8335288655633383,0.07907935571863291,False,Mbd1
Nanog_417,0.1925046249946415,0.24636355762337997,-0.053858932628738476,-0.20995092039966673,0.286211784611152,0.7253241071491694,0.9113046474438282,0.040336414919017516,False,Nanog
Irx6_485,0.1007849156845244,0.15466272490702657,-0.05387780922250217,-0.34891992189216253,0.1734137947978079,0.6769840362529582,0.8965464263890528,0.047427216193798104,False,Irx6
Myf5_778,0.2225172893824302,0.2774534222827369,-0.05493613290030669,-0.19136080888353232,0.32191119313418953,0.8630727299387528,0.9515897711156506,0.021550234953292672,False,Myf5
Gcm1_388,0.09092151656526774,0.14758906928595253,-0.056667552720684786,-0.4028480088926227,0.1625391407203262,0.5568251594395548,0.8380883799073162,0.07671018079434304,False,Gcm1
NP_593,0.00022157175714137,0.05729282215839953,-0.05707125040125816,-1.4015408913659755,0.04090252345756072,0.5075374356807751,0.8137349335871406,0.0895170393706533,False,NP
Mlxipl_779,-0.26790525015523986,-0.21003334899122347,-0.05787190116401639,0.2399833785474503,-0.39397344081679364,0.8344229878559014,0.9456246962994939,0.024281194112420974,False,Mlxipl
Nkx63_567,0.06677370442325703,0.12476050756235536,-0.057986803139098334,-0.5102941311733529,0.13194120091445935,0.9988171374431303,0.9988171374431303,0.0005140147456646978,False,Nkx63
Bbx_730,-0.09700441959334459,-0.03709270586600272,-0.05991171372734187,1.0915236706167275,-0.10012610816475642,0.9444503914947404,0.9800061709392482,0.008771189617274655,False,Bbx
E2f3_258,0.12511843909804735,0.1854821390535315,-0.06036369995548416,-0.3475975371589659,0.2082678899555839,0.8144190825795589,0.9374111255622851,0.02806989640826041,False,E2f3
Pdx1_472,-0.08586170185023122,-0.024939710515148157,-0.06092199133508306,1.4720748534257597,-0.08222563795768702,0.7694911054720975,0.9254722151008488,0.03363661527900511,False,Pdx1
Mafk_102,-0.14201290956562512,-0.08044224609834849,-0.06157066346727663,0.6108130047726021,-0.1701140430328912,0.644048696882616,0.8766218374235606,0.057187714888511175,False,Mafk
Tcfap2e_4,-0.11272893473561868,-0.05050520288967061,-0.06222373184594807,0.8998852893042465,-0.12283226615794327,0.5056399478620346,0.8137349335871406,0.0895170393706533,False,Tcfap2e
Mitf_62,-0.43076759927353764,-0.36847656891121155,-0.06229103036232608,0.15677536612432016,-0.7360571845452148,0.761947823823686,0.9249547297348246,0.03387952251229639,False,Mitf
