,Baso/Eos/Mast,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Esrrb_669,-0.7205421694753761,-0.44075394403879814,-0.27978822543657794,0.4407915727221875,-1.2537665534756959,0.6815949461995401,0.9009537986744997,0.04529747927086305,False,Esrrb
Nfe2l3_871,-0.6917268843333275,-0.4110423237674198,-0.28068456056590774,0.4704035153898418,-1.1564489620266356,0.34995376310726367,0.6813669294936127,0.16661894897033394,False,Nfe2l3
Nfe2l1_117,-0.6917268843333275,-0.4110423237674198,-0.28068456056590774,0.4704035153898418,-1.1564489620266356,0.34995376310726367,0.6813669294936127,0.16661894897033394,False,Nfe2l1
Nr3c2_681,-0.48784152955728466,-0.2019224709355729,-0.28591905862171174,0.8598989534933119,-0.6101733068223245,0.43294667414786303,0.7666770299685667,0.11538754823109894,False,Nr3c2
Hesx1_523,-0.16433628342262388,0.12903566992341048,-0.2933719533460344,,-0.025691413613832034,0.3474564110156634,0.6813669294936127,0.16661894897033394,False,Hesx1
Alx4_521,-0.16433628342262388,0.12903566992341048,-0.2933719533460344,,-0.025691413613832034,0.3474564110156634,0.6813669294936127,0.16661894897033394,False,Alx4
Alx1_505,-0.16433628342262388,0.12903566992341048,-0.2933719533460344,,-0.025691413613832034,0.3474564110156634,0.6813669294936127,0.16661894897033394,False,Alx1
Shox2_463,-0.16433628342262388,0.12903566992341048,-0.2933719533460344,,-0.025691413613832034,0.3474564110156634,0.6813669294936127,0.16661894897033394,False,Shox2
Pou3f1_620,-0.13285883449264127,0.16497665282957788,-0.29783548732221915,,0.022984049257169188,0.338805233161683,0.6794441690533485,0.16784622409444797,False,Pou3f1
Olig1_81,-0.23966148779545005,0.06507869408155541,-0.30474018187700547,,-0.13177376469157542,0.41188821502013273,0.7475008346661669,0.12638831806613054,False,Olig1
Sox9_725,-0.5575265697030459,-0.25154145228087743,-0.3059851174221685,0.7935092718434841,-0.7479089862785714,0.3449704255914896,0.6813669294936127,0.16661894897033394,False,Sox9
Snai2_799,0.4793007599737554,0.7859196451839287,-0.3066188852101733,-0.3827817496859957,0.7071803782022917,0.7230019006024291,0.9198628092666976,0.03627693963408237,False,Snai2
Pax6_614,-0.22481027778582674,0.08481696887980246,-0.3096272466656292,,-0.10469218877920201,0.41050625936490515,0.7475008346661669,0.12638831806613054,False,Pax6
Foxl1_365,-0.49204765093646513,-0.17860092625612753,-0.31344672468033763,1.0554744592693877,-0.5892774590264416,0.4502331442580906,0.7735758665776852,0.11149708749748019,False,Foxl1
Esr2_668,-0.7103898126761817,-0.3960644203321819,-0.3143253923439998,0.5709661433565226,-1.1623864695703616,0.6568430635284067,0.8868463199214094,0.052151631794671895,False,Esr2
Dbx2_541,-0.32230553026682984,-0.007208909464498185,-0.31509662080233164,5.243306221652643,-0.25973248797591375,0.47989488060369867,0.7986175182876645,0.09766116745470434,False,Dbx2
Gfi1b_172,-0.14687146698814635,0.17080652340258337,-0.31767799039072975,,0.017162997891893933,0.5390715347134744,0.8225970477807688,0.0848128534638753,False,Gfi1b
Atoh8_67,0.526231159184406,0.8455552561670507,-0.31932409698264475,-0.38013769820075144,0.7535131521541085,0.5849003125924876,0.8550078839452789,0.0680298806658107,False,Atoh8
Nr2e3_683,-0.44510303143040836,-0.1224267109820807,-0.32267632044832767,1.4103809181218474,-0.48149481541674605,0.3113628100744694,0.6681800449773285,0.17510649859558344,False,Nr2e3
Hoxb2_582,-0.3298262988585229,0.011536350930028378,-0.34136264978855124,,-0.25007101170606516,0.49511611866064686,0.8082054070077854,0.09247824839251727,False,Hoxb2
NP_593,-0.36833661242023064,-0.021337946523460133,-0.34699866589677053,3.6534468946988583,-0.3126477186467734,0.41050625936490515,0.7475008346661669,0.12638831806613054,False,NP
Npas2_44,-0.14284527903296007,0.2059528024891689,-0.348798081522129,,0.04481901245788086,0.20074999719896647,0.5550517163933807,0.25566655003428623,False,Npas2
Gsx1_556,-0.20391970650860763,0.14552832405280727,-0.34944803056141494,,-0.042747583194416065,0.26513697138219094,0.6202939224379109,0.2074024739770764,False,Gsx1
Pou2f1_619,-0.032947745102581034,0.3183212161148541,-0.3512689612174351,-1.7989943894085285,0.19242994679307884,0.44298336941564764,0.7706337905810675,0.11315195205652585,False,Pou2f1
Foxl1_361,-0.05530831242942917,0.29893370906352795,-0.35424202149295714,-2.110387224102328,0.16583181875753542,0.3821261289741338,0.7217028817027538,0.1416415605951103,False,Foxl1
Hbp1_727,-0.4449411813570688,-0.0887979615812375,-0.3561432197758313,1.8820736344660927,-0.4478582091401986,0.23612186256272094,0.58830362367322,0.23039847655486714,False,Hbp1
Smad3_723,-0.5346687111924309,-0.17799586169171128,-0.3566728495007196,1.2189162037162122,-0.6356119899640209,0.34870366666304176,0.6813669294936127,0.16661894897033394,False,Smad3
Smad9_884,-0.5346687111924309,-0.17799586169171128,-0.3566728495007196,1.2189162037162122,-0.6356119899640209,0.34870366666304176,0.6813669294936127,0.16661894897033394,False,Smad9
Smad2_861,-0.5346687111924309,-0.17799586169171128,-0.3566728495007196,1.2189162037162122,-0.6356119899640209,0.34870366666304176,0.6813669294936127,0.16661894897033394,False,Smad2
